Showers,Sinks,CW,DW,Baths
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.00305846666667,,,
,0.0345227333333,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.00129933333333,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.00209893333333,,,
,,,,
,,,,
,0.0296052,,,
,,,,
,,,,
,,,,
,,,,
,0.0191504,,,
,,,,
,,,,
,0.0253473333333,,,
,,,,
,,,,
,,,,
,,,,
,0.0235282,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0363418,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0035782,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.00701646666667,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.00287853333333,,,
,0.0225087333333,,,
,,,,
,0.0241279333333,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.00133933333333,,,
,,,,
,,,,
,0.0084158,,,
,0.0625087333333,,,
,,,,
,,,,
,,,,
,,,,
0.3736638,,,,
0.207591,,,,
0.2869202,0.0110145333333,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0048176,,,
,,,,
,,,,
,0.0023388,,,
,,,,
,0.0609496,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.006017,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.00207893333333,,,
,0.0052374,,,
,,,,
,,,,
,,,,
,0.101849133333,,,
,0.0502149333333,,,
,,,,
,,,,
,,,,
,0.000479733333333,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.00105946666667,,,
,,,,
,,,,
0.097063,,,,
0.0647086666667,,,,
0.0804044,,,,
0.0402022,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.00971513333333,,,
,0.015952,,,
,,,,
,0.001979,,,
,0.0244078,,,
,,,,
,,,,
,0.0767016666667,,,
,0.065907,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.011934,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.001979,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.00513746666667,,,
,,,,
,,,,
,0.0131134666667,,,
,,,,
,,,,
,,,,
