Showers,Sinks,CW,DW,Baths
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0009204,,,
,,,,
,0.00784313333333,,,
,,,,
,,,,
,,,,
,,,,
,0.0251300666667,,,
,,0.0785772,,
,0.0318727333333,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.00330133333333,,,
,,,,
,,,,
,,,,
,,,,
,0.000760333333333,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.00220086666667,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.000240066666667,,,
,,,,
,,,,
,,,,
,0.0229892,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,0.0939883333333,
,,,0.0243508666667,
,,,0.0859415333333,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0064426,,,
,0.00318126666667,,0.043345,
,,,0.0830643333333,
,,,0.0610526666667,
,,,0.0360702,
,,,,
,,,,
,0.00968386666667,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0441176666667,,,
,0.0080232,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.082573,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0285114,,,
,,,,
,,,,
,,,0.0902456,
,,,0.0343859333333,
,0.0593036666667,,0.0973566666667,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.012445,,,
,0.0353341333333,,,
,,,,
,,,,
,,,,
,,,,
,0.000400133333333,,,
,,,,
,,0.0270428,,
,,,,
,,,,
,0.0761104,,,
,,,,
,0.0133453333333,0.0804140666667,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0325971333333,,
,,,,
,0.0333934,,,
,,,,
,,,,
,,,,
,0.0223889333333,,,
,0.0942977333333,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0104642,,,
,,,,
,,,,
,,,,
,0.0114846,,,0.2125924
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.038575,,,,
0.1543,,,,
0.0339924666667,,,,
0.169962333333,,,,
,,,,
0.150094133333,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0173869333333,,,
,0.0064426,,,
,,,,
,,,,
,0.00374146666667,,,
,,,,
,0.00538213333333,,,
,,,,
,,,,
,,,,
,0.0157663333333,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0090036,,,
,,,,
,0.0161664666667,,,
,,,,
,,,,
,,,,
,,,,
,0.106682666667,,,
,,,,
